"","event-id","visible","timestamp","gps:activity-count","argos:altitude","battery-charging-current","cpu-temperature","external-temperature","gps:dop","gps:fix-type-raw","gps:satellite-count","gps:twilight","height-above-ellipsoid","lat-upper","long-upper","mortality-status","transmission-protocol","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","Date","Time","Year","Month","Day","location-long","location-lat"
"16",23489299136,TRUE,2021-08-03 05:44:08,NA,NA,NA,14,NA,3.8,"3D valid GPS Fix",5,"DARK",77,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"05:44:08","2021","08","03",-72.4643673616936,41.5062545854884
"17",23489299137,TRUE,2021-08-03 06:14:32,NA,NA,NA,14,NA,2.6,"3D valid GPS Fix",4,"DARK",93,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"06:14:32","2021","08","03",-72.464546530278,41.5062240940548
"18",23489299138,TRUE,2021-08-03 06:44:38,NA,NA,NA,14,NA,3.4,"3D valid GPS Fix",4,"DARK",102,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"06:44:38","2021","08","03",-72.4645453410735,41.5062268179181
"19",23489299139,TRUE,2021-08-03 07:14:04,NA,NA,NA,13,NA,4.4,"3D valid GPS Fix",4,"DARK",168,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"07:14:04","2021","08","03",-72.4645057683537,41.5062294213339
"20",23489299140,TRUE,2021-08-03 07:44:24,NA,NA,NA,13,NA,3.4,"3D valid GPS Fix",4,"DARK",72,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"07:44:24","2021","08","03",-72.464593403476,41.5061071916721
"21",23489298962,TRUE,2021-08-03 08:14:32,NA,NA,NA,13,NA,2.8,"3D valid GPS Fix",5,"DARK",81,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"08:14:32","2021","08","03",-72.464456351574,41.5061530460581
"22",23489298963,TRUE,2021-08-03 09:00:24,NA,NA,NA,12,NA,5,"3D valid GPS Fix",4,"TWILIGHT",105,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"09:00:24","2021","08","03",-72.4644059115692,41.5060353817368
"23",23489298964,TRUE,2021-08-03 10:00:40,NA,NA,NA,12,NA,2,"3D valid GPS Fix",6,"BRIGHT",75,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"10:00:40","2021","08","03",-72.4644491339449,41.5061239685213
"24",23489298965,TRUE,2021-08-03 11:00:12,NA,NA,NA,13,NA,6.2,"3D valid GPS Fix",4,"BRIGHT",89,NA,NA,"Mortality no radius","Collar","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"11:00:12","2021","08","03",-72.4645693722399,41.506187233166
"25",23489299141,TRUE,2021-08-03 12:00:13,NA,NA,NA,15,NA,5.2,"3D valid GPS Fix",4,"BRIGHT",103,NA,NA,"Mortality no radius","Iridium TCP","gps","",47786,"","Odocoileus virginianus DeNicola Staten Island, NY and Rockefeller Park, NY",2021-08-03,"12:00:13","2021","08","03",-72.4645669937734,41.5061657100957
